City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Itupiranga,BR,78.8,broken clouds,-5.1347,-49.3267,Hotel Panorama
4,Dingle,PH,76.46,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
10,Rio Grande,BR,75.2,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
16,Valparaiso,CL,80.6,clear sky,-33.0393,-71.6273,Hotel Ultramar
17,Axim,GH,79.9,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
18,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Atar,MR,79.99,clear sky,20.5169,-13.0499,Oumou Elghoura
23,Sao Sebastiao,BR,81.82,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
26,Naranjal,EC,89.6,moderate rain,-2.6667,-79.6167,Media Naranja
30,Grand Gaube,MU,79.0,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
33,Santa Cruz,BO,82.4,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
37,Puerto Ayora,EC,86.0,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Kourou,GF,78.8,heavy intensity rain,5.1552,-52.6478,Lodge Takini 4
51,Oranjestad,AW,86.0,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
52,Cacu,BR,85.84,light rain,-18.5567,-51.1308,Império Hotel
53,Puerto Asis,CO,78.8,broken clouds,0.5133,-76.5007,Ayawaska Hostal
55,Arraial Do Cabo,BR,87.8,clear sky,-22.9661,-42.0278,Pousada Porto Praia
65,Harper,LR,78.66,overcast clouds,4.375,-7.7169,Screensaver
68,Alenquer,BR,84.2,broken clouds,-1.9417,-54.7383,Josilene Castro
69,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
73,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
82,Kolokani,ML,89.65,overcast clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
85,Meulaboh,ID,76.05,overcast clouds,4.1363,96.1285,Kost Pria
88,Olinda,BR,80.6,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
97,Hithadhoo,MV,82.92,few clouds,-0.6,73.0833,Scoop Guest House
98,Mayumba,GA,76.93,overcast clouds,-3.432,10.6554,LIKWALE LODGE
103,Caravelas,BR,80.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
108,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Quatre Cocos,MU,79.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
110,Monrovia,LR,77.0,broken clouds,6.3005,-10.7969,Sunset Inn
111,Saint-Pierre,RE,78.8,few clouds,-21.3393,55.4781,Lindsey Hôtel
112,Saint-Georges,GD,80.6,broken clouds,12.0564,-61.7485,Siesta Hotel
116,Jardim,BR,84.11,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
117,Rio Blanco,MX,84.22,clear sky,18.8333,-97.15,HOTEL L'ORBE EN ORIZABA
