City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Itupiranga,BR,-5.1347,-49.3267,78.8,89,75,5.75,broken clouds
1,Jamestown,US,42.097,-79.2353,62.6,14,1,8.52,clear sky
2,Kharp,RU,66.8014,65.8081,-0.31,98,100,3.87,overcast clouds
3,Sun Prairie,US,43.1836,-89.2137,59.0,41,90,9.22,overcast clouds
4,Dingle,PH,10.9995,122.6711,76.46,87,100,8.84,overcast clouds
5,Lagoa,PT,39.05,-27.9833,58.15,79,100,11.12,overcast clouds
6,Shubarkuduk,KZ,49.1447,56.4872,5.59,99,49,2.35,scattered clouds
7,Ushuaia,AR,-54.8,-68.3,57.2,62,75,16.11,broken clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,66.2,72,0,11.5,clear sky
9,Ribeira Grande,PT,38.5167,-28.7,59.0,82,75,4.61,broken clouds
10,Rio Grande,BR,-32.035,-52.0986,75.2,69,75,11.5,broken clouds
11,East London,ZA,-33.0153,27.9116,68.58,72,77,7.36,broken clouds
12,Rovaniemi,FI,66.5,25.7167,23.0,74,0,12.66,clear sky
13,Manjacaze,MZ,-24.7117,33.8828,71.29,82,11,7.4,light rain
14,Cape Town,ZA,-33.9258,18.4232,69.01,60,0,11.5,clear sky
15,Margate,GB,51.3813,1.3862,46.0,71,44,1.01,scattered clouds
16,Valparaiso,CL,-33.0393,-71.6273,80.6,38,0,12.66,clear sky
17,Axim,GH,4.8699,-2.2405,79.9,82,100,11.41,overcast clouds
18,Mahebourg,MU,-20.4081,57.7,78.8,89,40,7.45,scattered clouds
19,Dikson,RU,73.5069,80.5464,-10.7,74,100,1.88,overcast clouds
20,Vardo,NO,70.3705,31.1107,21.2,73,99,24.16,snow
21,Ostrovnoy,RU,68.0531,39.5131,14.79,95,97,11.45,overcast clouds
22,Atar,MR,20.5169,-13.0499,79.99,11,0,7.07,clear sky
23,Sao Sebastiao,BR,-23.76,-45.4097,81.82,78,82,4.9,broken clouds
24,Hermanus,ZA,-34.4187,19.2345,64.99,78,0,5.99,clear sky
25,Lerwick,GB,60.1545,-1.1494,46.4,93,75,20.71,light intensity drizzle
26,Naranjal,EC,-2.6667,-79.6167,89.6,58,40,5.75,moderate rain
